34,My uncle was scared by what he saw in the room,To scare someone is to make them feel afraid,1,2,scare,v,null,Asustar a alguien es hacerle sentir miedo
35,The two boys were sharing a secret,A secret is something that you do not tell other people,1,2,secret,n,null,Un secreto es algo que no le cuentas a otras personas
36,My boss shouted at me because I was late for work,To shout is to say something loudly,1,2,shout,v,null,Gritar es decir algo en voz alta
37,The two friends smelled the flower,To smell something means to use your nose to sense it,1,2,smell,v,null,Oler algo significa usar la nariz para sentirlo
38,The way he treated his classmate was terrible,If something is terrible it is very bad,1,2,terrible,adj,null,si algo es terrible es muy malo
39,Business was worse this month than last month,If something is worse it is of poorer quality than another thing,1,2,worse,adj,null,Si algo es peor es de peor calidad que otra cosa
40,The alien came in peace,An alien is a creature from a different world,1,3,alien,n,null,Un extraterrestre es una criatura de un mundo diferente.
41,There was a red apple among the green ones,If you are among certain things they are all around you,1,3,among,prep,null,Si estas entre ciertas cosas estan a tu alrededor.
42,We used a chart to see how we had improved,A chart is a list of information,1,3,chart,n,null,Un grafico es una lista de informacion
43,The sky was filled with white clouds,A cloud is a group of water drops in the sky,1,3,cloud,n,null,Una nube es un grupo de gotas de agua en el cielo.
44,Henry could not comprehend the message,To comprehend something is to understand it,1,3,comprehend,v,null,Comprender algo es comprenderlo.
45,They described their tree as colorful with gold ribbon and a star,To describe is to say or write what someone or something is like,1,3,describe,v,null,Describir es decir o escribir como es alguien o algo.
46,"Going skiing last winter was the most fun I""ve ever had",Ever means at any time,1,3,ever,adv,null,Ever significa en cualquier momento
47,Since he failed to get the job he was sad,To fail means you do not succeed in what you try to do,1,3,fail,v,null,Fracasar significa que no tienes exito en lo que intentas hacer
48,The friendly animals came up to the girl,Friendly is behaving in a pleasant kind way toward someone,1,3,friendly,adj,null,Amigable es comportarse de una manera agradable y amable con alguien.
49,I managed to get good grades on my report card,"A grade is a score or mark given to someone""s work",1,3,grade,n,null,Una calificacion es una puntuacion o nota otorgada al trabajo de alguien.
50,He ate the carrot instead of the ice cream,Instead means in place of,1,3,instead,adv,null,En cambio significa en lugar de
51,The library at school is full of books,A library is a place where you go to read books,1,3,library,n,null,Una biblioteca es un lugar donde vas a leer libros.
52,Saturn is the planet with the ring around it,A planet is a large round thing in space,1,3,planet,n,null,Un planeta es una cosa grande y redonda en el espacio.
53,Karen had trouble writing her report,A report is something students write for school,1,3,report,n,null,Un informe es algo que los estudiantes escriben para la escuela.
54,He had to read several books for class,Several is more than two but not many,1,3,several,adj,null,Varios es mas que dos pero no muchos
55,All the students could easily solve the math problem,To solve something is to find an answer to it,1,3,solve,v,null,Resolver algo es encontrarle una respuesta.
56,I was suddenly surprised by the cake my friends brought me,If something happens suddenly it happens quickly and unexpectedly,1,3,suddenly,adv,null,Si algo sucede de repente sucede de forma rapida e inesperada.
57,I suppose I should go home now,To suppose is to guess,1,3,suppose,v,null,Suponer es adivinar
58,The universe is so large that it cannot be measured,The universe is the known or supposed objects in space,1,3,universe,n,null,El universo son los objetos conocidos o supuestos en el espacio.
59,Michael likes to view himself in the mirror,To view is to look at something,1,3,view,v,null,Ver es mirar algo.
60,"It""s appropriate to wear a suit when you go to the office",When a thing is appropriate it is right or normal,1,4,appropriate,adj,null,Cuando algo es apropiado es correcto o normal
61,Avoid the broken bottle on the floor,To avoid something is to stay away from it,1,4,avoid,v,null,Evitar algo es alejarse de ello.
62,She always behaves well when her father is around,To behave is to act in a particular way especially to be good,1,4,behave,v,null,Comportarse es actuar de una manera particular especialmente para ser bueno
63,A nice warm bath makes me feel so calm,When someone is calm they do not get excited or upset,1,4,calm,adj,null,Cuando alguien esta tranquilo no se emociona ni se enfada
64,I was filled with concern after reading the newspaper,Concern is a feeling of worry,1,4,concern,n,null,La preocupacion es un sentimiento de preocupacion.
65,The baby looked very content sitting on the floor,To be content is to be happy and not want more,1,4,content,adj,null,Estar contento es ser feliz y no querer mas
66,I expect the bus to be here very soon,If you expect something to happen you believe it will happen,1,4,expect,v,null,Si esperas que algo suceda crees que sucedera
67,We meet frequently either at the beginning or ending of the week,When something happens frequently it happens often,1,4,frequently,adv,null,Cuando algo sucede con frecuencia sucede con frecuencia.
68,Smoking is a bad habit that can kill you,A habit is a thing that you do often,1,4,habit,n,null,Un habito es algo que haces a menudo.
69,My teacher instructs us in several subjects,To instruct is to teach,1,4,instruct,v,null,Instruir es enseñar
70,The men spoke about issues that were important to the people,An issue is an important topic,1,4,issue,n,null,Un asunto es un tema importante
71,He spent all his money There is none left,None means not any of someone or something,1,4,none,pron,null,Ninguno significa no cualquiera de alguien o algo.
72,"I had to be patient and wait until 5 o""clock to leave","If a person is patient they don""t become angry or upset easily",1,4,patient,adj,null,Si una persona es paciente no se enfada ni se molesta facilmente.
73,She has a positive future ahead of her after finishing college,If something is positive it is good,1,4,positive,adj,null,si algo es positivo es bueno
74,To punish me my teacher had me stand in the corner,To punish means to make someone suffer for breaking the rules or laws,1,4,punish,v,null,Castigar significa hacer sufrir a alguien por infringir las normas o leyes.
75,My lawyer will represent me in court,To represent is to speak or act for a person or group,1,4,represent,v,null,Representar es hablar o actuar por una persona o grupo
76,When people shake hands it usually means they agree,To shake is to move back and forth or up and down quickly,1,4,shake,v,null,Sacudir es moverse hacia adelante y hacia atras o hacia arriba y hacia abajo rapidamente
77,I like to spread butter on my toast,To spread is to move quickly to more places,1,4,spread,v,null,Difundir es moverse rapidamente a mas lugares
78,My dog and I strolled through the park today,To stroll means to walk slowly and calmly,1,4,stroll,v,null,Pasear significa caminar despacio y con calma.
79,There are only a few houses in my village,A village is a very small town,1,4,village,n,null,Un pueblo es un pueblo muy pequeño.
80,I was not aware of the ringing phone,If you are aware of something you know about it,1,5,aware,adj,null,Si eres consciente de algo que sabes al respecto.
81,He hurt his arm badly playing with friends,Badly means in a severe or harmful way,1,5,badly,adv,null,Mal significa de una manera severa o dañina.
82,The blue suit belongs to Paul,If something belongs to you you own it,1,5,belong,v,null,Si algo te pertenece lo posees
83,She stood under her umbrella as the rain continued to fall,To continue something is to keep doing it,1,5,continue,v,null,Continuar algo es seguir haciendolo
84,I made an error on my report so my boss was angry,An error is something you do wrong,1,5,error,n,null,Un error es algo que haces mal
85,Rock climbing was a fun experience,An experience is something you have seen or done,1,5,experience,n,null,Una experiencia es algo que has visto o hecho.
86,The field of flowers looked so pretty,A field is a big area of land,1,5,field,n,null,Un campo es una gran area de tierra.
87,She hurt her leg falling down the stairs,To hurt is to do something that makes you feel pain,1,5,hurt,v,null,Herir es hacer algo que te hace sentir dolor
88,"It""s good judgment to recycle your aluminum cans",Judgment is the ability to form opinions or decisions,1,5,judgment,n,null,El juicio es la capacidad de formar opiniones o decisiones.
89,I will likely stay at home and watch TV tonight,If something likely happens it will probably happen,1,5,likely,adv,null,Si algo probable sucede probablemente sucedera
90,It is normal for me to bathe every night,If something is normal it is not strange nor surprising to you,1,5,normal,adj,null,Si algo es normal no te resulta extraño ni sorprendente
91,It is rare for him to miss his flight,If something is rare you do not see it very often,1,5,rare,adj,null,Si algo es raro no lo ves muy seguido
92,The frog relaxed in the warm sun,To relax is to rest,1,5,relax,v,null,Relajarse es descansar
93,The little girl requested a special gift from Santa Claus,To request something is to ask for it,1,5,request,v,null,Pedir algo es pedirlo
94,My brother and his family reside in a lovely house on the beach,To reside means to live somewhere permanently or for a long time,1,5,reside,v,null,Residir significa vivir en algun lugar de forma permanente o durante mucho tiempo.
95,Asa result of all the rain the man had to climb on the roof,A result is something that happens because of something else,1,5,result,n,null,Un resultado es algo que sucede debido a otra cosa.
96,You must roll the ball into the pins when you bowl,To roll is to move by turning over and over,1,5,roll,v,null,Rodar es moverse dando vueltas y vueltas
97,Since 1992 he has been driving that car,Since is used to talk about a past event still happening now,1,5,since,prep,null,Dado que se usa para hablar de un evento pasado que todavia esta sucediendo ahora
98,The moon and stars were visible in the night sky,If something is visible it can be seen,1,5,visible,adj,null,Si algo es visible se puede ver
99,You should be careful around a fox because it is a wild animal,If something is wild it is found in nature,1,5,wild,adj,null,Si algo es salvaje se encuentra en la naturaleza
100,Being tall is an advantage to a basketball player,An advantage is something that helps you,1,6,advantage,n,null,Una ventaja es algo que te ayuda
101,The cold weather caused her to get sick,To cause is to make something happen,1,6,cause,v,null,Causar es hacer que algo suceda.
102,I had my choice of five doors to open,A choice is the act or possibility of picking something,1,6,choice,n,null,Una eleccion es el acto o la posibilidad de escoger algo
103,The kids from my community usually play together,A community is a group of people who live together,1,6,community,n,null,Una comunidad es un grupo de personas que viven juntas
104,A dead person is usually buried in the ground,To be dead is to not be alive,1,6,dead,adj,null,Estar muerto es no estar vivo
105,The distance between the Earth and the Moon is 384400 kilometers,The distance between two things is how far it is between them,1,6,distance,n,null,La distancia entre dos cosas es la distancia que hay entre ellas
106,The butterfly could not escape from the cage,To escape is to run away from something bad,1,6,escape,v,null,Escapar es huir de algo malo
107,My sister and I have to find a better way to face our differences,If you face a problem you deal with it,1,6,face,v,null,Si te enfrentas a un problema lo resuelves
108,The little boy followed his mother home,To follow means to go behind someone and go where they go,1,6,follow,v,null,Seguir significa ir detras de alguien e ir a donde vaya.
109,She was filled with fright,Fright is the feeling of being scared,1,6,fright,n,null,El susto es la sensacion de tener miedo.
110,Many people are afraid of ghosts,A ghost is the spirit of a dead person,1,6,ghost,n,null,Un fantasma es el espiritu de una persona muerta.
111,Only one individual could win the bicycle race,An individual is one person,1,6,individual,n,null,Un individuo es una persona
112,Out of all my pets the dog is my favorite,A pet is an animal that lives with people,1,6,pet,n,null,Una mascota es un animal que vive con personas.
113,I was happy to finally reach my destination,To reach means to arrive at a place,1,6,reach,v,null,Alcanzar significa llegar a un lugar
114,I was happy to return home to my mom after school,To return is to go back to a place,1,6,return,v,null,Volver es volver a un lugar
115,My dog survived her fall into the water,To survive is to stay alive,1,6,survive,v,null,Sobrevivir es mantenerse vivo
116,She was upset because she broke her toy,To be upset is to be unhappy about something,1,6,upset,adj,null,Estar molesto es estar infeliz por algo.
117,He used a microphone so everyone could hear his voice,A voice is the sound a person makes when they talk or sing,1,6,voice,n,null,Una voz es el sonido que hace una persona cuando habla o canta
118,The weather can be sunny rainy or cold,The weather is the condition of the air: hot rainy windy etc,1,6,weather,n,null,El clima es la condicion del aire: caliente lluvioso ventoso etc.
119,Many people believe that owls are very wise animals,To be wise is to use experience and intelligence to make good choices,1,6,wise,adj,null,Ser sabio es usar la experiencia y la inteligencia para tomar buenas decisiones
120,Having a ticket will allow you to enter the show,To allow something to happen means to let it happen,1,7,allow,v,null,Permitir que algo suceda significa dejar que suceda
121,He announced to everyone his new idea for the company,To announce something is to make it known,1,7,announce,v,null,Anunciar algo es darlo a conocer
122,The two brothers stood beside each other,When someone or something is beside you they are next to you,1,7,beside,prep,null,Cuando alguien o algo esta a tu lado esta a tu lado.
123,It was a challenge to climb to the top of the mountain,A challenge is something difficult to complete,1,7,challenge,n,null,Un desafio es algo dificil de completar.
124,"He claimed to know why the country""s laws were weak",To claim means to say that something is true,1,7,claim,v,null,Afirmar significa decir que algo es verdad
125,"The patient""s condition was very good",The condition of someone or something is the state that they are in,1,7,condition,n,null,La condicion de alguien o algo es el estado en que se encuentra
126,We decided to contribute money to the new hospital,To contribute to something means to do something to make it successful,1,7,contribute,v,null,Contribuir a algo significa hacer algo para que tenga exito.
127,The biggest difference between the birds is the color of their feathers,A difference is a way that something is not like other things,1,7,difference,n,null,Una diferencia es una forma en que algo no es como otras cosas.
128,We divided the pizza,To divide something is to make it into smaller parts,1,7,divide,v,null,Dividir algo es dividirlo en partes mas pequeñas.
129,The wizard was an expert at magic,An expert is someone who is very good at doing something,1,7,expert,n,null,Un experto es alguien que es muy bueno haciendo algo
130,The Eiffel Tower in Paris is very famous,If someone or something is famous they are known to many people,1,7,famous,adj,null,Si alguien o algo es famoso muchas personas lo conocen.
131,He used all his force to try and open the door,"Force is a person""s strength or power",1,7,force,n,null,La fuerza es la fuerza o el poder de una persona.
132,A hot iron can cause great harm if you are not careful,Harm is hurt or problems caused to someone or something,1,7,harm,n,null,El daño es daño o problemas causados ____a alguien o algo.
133,"Don""t lay your socks on the floor",To lay means to put or place in a horizontal or flat position,1,7,lay,v,null,Poner significa poner o colocar en una posicion horizontal o plana
134,A white dove is a symbol for peace,Peace is a time without war,1,7,peace,n,null,La paz es un tiempo sin guerra
135,The prince and the princess were married,A prince is the son of a king,1,7,prince,n,null,Un principe es el hijo de un rey.
136,Firemen protect us from fires,To protect someone is to stop them from getting hurt,1,7,protect,v,null,Proteger a alguien es evitar que se lastime
137,I could sense that he was watching me,To sense something is to know about it without being told,1,7,sense,v,null,Sentir algo es saber sobre ello sin que te lo digan
138,He felt a sudden pain in his chest,When something is sudden it happens very quickly,1,7,sudden,adj,null,Cuando algo es repentino sucede muy rapido
139,He is fat Therefore he will go on a diet,Therefore means for this reason,1,7,therefore,adv,null,Por lo tanto significa por esta razon
140,"I accepted the girl""s very nice gift",To accept something that is offered is to take it,1,8,accept,v,null,Aceptar algo que se ofrece es tomarlo
141,Please arrange the bowling pins in order so we can play,To arrange things is to put them in the right place,1,8,arrange,v,null,Ordenar las cosas es ponerlas en el lugar correcto
142,My sister and I attend the same school,To attend something is to go to it,1,8,attend,v,null,Asistir a algo es ir a ello.
143,We saw an elephant balance itself on a ball,To balance something is to keep it from falling,1,8,balance,v,null,Equilibrar algo es evitar que se caiga
144,The contrast between my parents is very noticeable,A contrast is the sharp difference between two things,1,8,contrast,ncontrast,null,Un contraste es la marcada diferencia entre dos cosas.
145,My football coach will encourage us when we are losing,To encourage someone is to make them want to do something,1,8,encourage,v,null,Animar a alguien es hacer que quiera hacer algo.
146,The two friends were very familiar with each other,If someone or something is familiar to you you know them well,1,8,familiar,adj,null,Si alguien o algo te es familiar lo conoces bien
147,I grabbed a pear from the tree,To grab is to take a hold of someone or something suddenly,1,8,grab,v,null,Agarrar es agarrar a alguien o algo de repente
148,I drew a picture of my family and my mother hung it on the wall,To hang something is to keep it above the ground,1,8,hang,v,null,Colgar algo es mantenerlo sobre el suelo
149,At work my father drives a huge truck,If something is huge it is very big,1,8,huge,adj,null,Si algo es grande es muy grande
150,It is necessary to have a passport when you travel to a foreign country,If something is necessary you must do it,1,8,necessary,adj,null,Si algo es necesario debes hacerlo
151,"My pattern of brushing my teeth is the same as most people""s",A pattern is a way in which something is done or organized,1,8,pattern,n,null,Un patron es una forma en que se hace u organiza algo.
152,Santa Claus proposed that I try to be a good boy all year,To propose something is to say that it should be done,1,8,propose,v,null,Proponer algo es decir que se debe hacer
153,The purpose of exercising is to get into shape,A purpose is the reason that you do something,1,8,purpose,n,null,Un proposito es la razon por la que haces algo.
154,She released the bird from her hands,To release something is to stop holding it,1,8,release,v,null,Liberar algo es dejar de retenerlo.
155,We require teachers to have a university degree,To require something is to say that it is necessary,1,8,require,v,null,Requerir algo es decir que es necesario
156,I have a single key in my hand,If something is single then there is only one,1,8,single,adj,null,Si algo es unico entonces solo hay uno
157,My daughter was a big success at school,Success is doing something well that you choose to do,1,8,success,n,null,El exito es hacer algo bien que eliges hacer
158,It is easy to tear paper,To tear something means to pull it apart,1,8,tear,v,null,Desgarrar algo significa separarlo
159,"We talked about Einstein""s theory of relativity in class",A theory is an idea about how something works,1,8,theory,n,null,Una teoria es una idea acerca de como funciona algo.
160,They both leaned against the wall,To be against something is to be touching it or opposed to it,1,9,against,prep,null,Estar en contra de algo es estar tocandolo u oponiendose a el.
161,The little girl built a sandcastle on the beach,The beach is a sandy or rocky place by the ocean,1,9,beach,n,null,La playa es un lugar arenoso o rocoso junto al oceano.
162,The car was damaged in the accident,To damage something is to break it,1,9,damage,v,null,Dañar algo es romperlo
163,I discovered some new information in this book!,To discover something is to find it for the first time,1,9,discover,v,null,Descubrir algo es encontrarlo por primera vez
164,Anger is a common emotion that we all feel,An emotion is how you feel,1,9,emotion,n,null,Una emocion es como te sientes
165,My dad has many tools to help him fix broken things,To fix something is to make it work,1,9,fix,v,null,Arreglar algo es hacer que funcione
166,The teacher had a frank discussion with her students,If you are frank you are being very honest,1,9,frank,adj,null,Si eres franco estas siendo muy honesto
167,I used the file to identify his name,To identify something is to be able to name it,1,9,identify,v,null,Identificar algo es poder nombrarlo
168,Japan is a group of islands,An island is land in the middle of water,1,9,island,n,null,Una isla es tierra en medio del agua.
169,The ocean can make powerful waves,The ocean is all of the salt water that surrounds land,1,9,ocean,n,null,El oceano es toda el agua salada que rodea la tierra.
170,Perhaps I will eat an apple for lunch,Perhaps is used when you say that something could happen,1,9,perhaps,adv,null,Quizas se usa cuando dices que algo podria pasar
171,The character had a pleasant look on its face,If something is pleasant you enjoy it,1,9,pleasant,adj,null,Si algo es agradable lo disfrutas
172,The handcuffs prevented me from moving my hands,To prevent something is to stop it from happening,1,9,prevent,v,null,Prevenir algo es impedir que suceda
173,I stacked rocks on top of one another,A rock is a hard thing in the dirt,1,9,rock,n,null,Una roca es una cosa dura en la tierra
174,I want to help save the world,To save something is to keep it from being hurt,1,9,save,v,null,Salvar algo es evitar que sea lastimado
175,Be careful where you step,To step is to walk,1,9,step,v,null,Pisar es andar
176,They are still waiting in line to get tickets,Still is used when you say that a situation keeps going on,1,9,still,adv,null,Still se usa cuando dices que una situacion continua
177,The taste of the fruit was sweet,A taste is the flavor something makes in your mouth,1,9,taste,n,null,Un sabor es el sabor que algo hace en tu boca.
178,The pitcher can throw the baseball very fast,To throw something is to use your hand to make it go through the air,1,9,throw,v,null,Lanzar algo es usar la mano para hacerlo volar por el aire
179,The water was filled with large blue waves,A wave is a line of water that moves higher than the rest of the water,1,9,wave,n,null,Una ola es una linea de agua que se mueve mas alto que el resto del agua.
180,Being able to fly is a good benefit to birds,A benefit is a good thing,1,10,benefit,n,null,Un beneficio es algo bueno
181,I am certain that zebras have stripes,If you are certain about something you know it is true,1,10,certain,adj,null,Si estas seguro de algo sabes que es verdad.
182,I had a chance to see the Roman Coliseum last summer,A chance is an opportunity to do something,1,10,chance,n,null,Una oportunidad es una oportunidad de hacer algo.
183,The medicine had a good effect on the boy,An effect is a change made by something else,1,10,effect,n,null,Un efecto es un cambio hecho por otra cosa.
184,It is essential to have oxygen when you scuba dive,If something is essential it is very important and necessary,1,10,essential,adj,null,Si algo es esencial es muy importante y necesario
185,"It""s far going from the east coast to the west coast of America",If something is far it is not close,1,10,far,adj,null,si algo esta lejos no esta cerca
186,My mom always helps me to focus on my school work,To focus on something is to think about it and pay attention to it,1,10,focus,v,null,Enfocarse en algo es pensar en ello y prestarle atencion.
187,The function of a flashlight is to help you see in the dark,The function of something is what it does,1,10,function,n,null,La funcion de algo es lo que hace.
188,The grass looked so soft and green,Grass is the green leaves that cover the ground,1,10,grass,n,null,La hierba son las hojas verdes que cubren el suelo.
189,The police officer will guard us from any harm,To guard something is to take care of it,1,10,guard,v,null,Custodiar algo es cuidarlo
190,The image of her eye was very clear,The image of something is a picture of it,1,10,image,v,null,La imagen de algo es una imagen de ello.
191,An immediate response came from the pizza place,If something is immediate it happens quickly,1,10,immediate,adj,null,Si algo es inmediato sucede rapidamente
192,His primary thoughts are about money,If something is primary it is the most important thing,1,10,primary,adj,null,Si algo es primario es lo mas importante
193,She is proud of the picture she drew of her house,If someone feels proud they are happy about what they have done,1,10,proud,adj,null,Si alguien se siente orgulloso es feliz por lo que ha hecho
194,My sister had to remain home since she was sick,To remain somewhere is to stay there,1,10,remain,v,null,Quedarse en algun lugar es quedarse alli
195,I rested on the couch after work,To rest is to stop being active while the body gets back its strength,1,10,rest,v,null,Descansar es dejar de estar activo mientras el cuerpo recupera sus fuerzas
196,New York and Los Angeles are in two separate parts of America,If two things are separate they are not together,1,10,separate,v,null,si dos cosas estan separadas no estan juntas
197,We found the perfect site for our picnic,A site is a place,1,10,site,n,null,Un sitio es un lugar
198,"Our dog wags its tail when it""s happy","A tail is a part of an animal""s body sticking out from its rear or back",1,10,tail,n,null,Una cola es una parte del cuerpo de un animal que sobresale de su parte trasera o trasera.
199,I have trouble working with my boss,Trouble is a problem ora difficulty,1,10,trouble,n,null,El problema es un problema o una dificultad
200,"Her old pants don""t fit her anymore",Anymore means any longer,1,11,anymore,adv,null,Mas significa mas tiempo
201,The baby has been asleep for hours,When a person is asleep they are not awake,1,11,asleep,adj,null,Cuando una persona esta dormida no esta despierta
202,The berry looked delicious,A berry is a small round fruit that grows on certain plants and trees,1,11,berry,n,null,Una baya es una pequeña fruta redonda que crece en ciertas plantas y arboles.
203,I collected shells when I was younger,To collect things is to group them together all in one place,1,11,collect,v,null,Coleccionar cosas es agruparlas todas en un mismo lugar
204,He will compete with very good athletes,To compete is to try to be better than someone,1,11,compete,v,null,Competir es intentar ser mejor que alguien
205,There were two conversations going on at once,A conversation is a talk between people,1,11,conversation,n,null,Una conversacion es una charla entre personas.
206,The creature we saw today was either a dolphin or a porpoise,A creature is any living thing,1,11,creature,n,null,Una criatura es cualquier cosa viva.
207,He made the wrong decision,A decision is a choice,1,11,decision,n,null,Una decision es una eleccion.
208,You can choose to be either white or black when you play chess,Either is used with or to say there are two or more possibilities,1,11,either,conj,null,O bien se usa con o para decir que hay dos o mas posibilidades
209,I love to go walking in the forest,A forest is a place with lots of trees and animals,1,11,forest,n,null,Un bosque es un lugar con muchos arboles y animales.
210,The ground under our feet was dry and brown,The ground is the top part of the Earth that we walk on,1,11,ground,n,null,El suelo es la parte superior de la Tierra sobre la que caminamos.
211,I introduced myself to our newest co-worker today,To introduce someone or something is to say who they are,1,11,introduce,v,null,Presentar a alguien o algo es decir quienes son.
212,Rose and Henry were married and they lived happily,To marry is to legally become husband and wife,1,11,marry,v,null,Casarse es convertirse legalmente en marido y mujer.
213,I prepared my speech to the class,To prepare is to get ready for something,1,11,prepare,v,null,Prepararse es prepararse para algo.
214,I love to sail my boat on the lake,To sail is to move a boat on the water,1,11,sail,v,null,Navegar es mover un barco sobre el agua
215,The accident was very serious,When something is serious it is bad or unsafe,1,11,serious,adj,null,Cuando algo es serio es malo o inseguro
216,I like to spend my free time fishing,To spend is to use time doing something or being somewhere,1,11,spend,v,null,Gastar es usar el tiempo haciendo algo o estando en algun lugar
217,Joe had a strange look on his face after he saw what happened,When something is strange it is not normal,1,11,strange,adj,null,Cuando algo es extraño no es normal
218,He was telling the truth about seeing a large green snake,The truth is a fact or something that is right,1,11,truth,n,null,La verdad es un hecho o algo que es correcto
219,He is always full of energy when he wakes in the morning,To wake is to not be sleeping anymore,1,11,wake,v,null,Despertar es no estar durmiendo mas
220,The boy wanted to be alone to think,If someone is alone they are not with another person,1,12,alone,adj,null,Si alguien esta solo no esta con otra persona
221,She has a nice apartment in the city,An apartment is a set of rooms in a building where people live,1,12,apartment,n,null,Un apartamento es un conjunto de habitaciones en un edificio donde viven personas
222,Did you read the article in the newspaper about the soccer game?,An article is a story in a newspaper or magazine,1,12,article,n,null,Un articulo es una historia en un periodico o revista.
223,He went to Paris to become an artist,An artist is a person who paints draws or makes sculptures,1,12,artist,n,null,Un artista es una persona que pinta dibuja o hace esculturas.
224,"John has a bad attitude He""s always angry","Someone""s attitude is the way they feel and think",1,12,attitude,n,null,La actitud de alguien es la forma en que se siente y piensa
225,"If you compare cats and dogs you""ll see that they""re both good pets",To compare means to say how two things are the same and different,1,12,compare,v,null,Comparar significa decir como dos cosas son iguales y diferentes
